#,Company name,Job,Technology or skill
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Git
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Jira
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Jenkins
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Agile
44,Publicis Groupe,Senior Developer Mobile Solutions Android,RxJava
44,Publicis Groupe,Senior Developer Mobile Solutions Android,custom framework
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Performance Tuning
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Multi-threading
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Factory design pattern
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Adapter design pattern
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Singleton design pattern
44,Publicis Groupe,Senior Developer Mobile Solutions Android,MVC
44,Publicis Groupe,Senior Developer Mobile Solutions Android,MVVM 
44,Publicis Groupe,Senior Developer Mobile Solutions Android,VIPER pattern
44,Publicis Groupe,Senior Developer Mobile Solutions Android,"Integrating Third Party libraries, APIs and SDKs"
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Gradle
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Firebase
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Crashlytics
45,Apprendo Srl,Android Developer Middle,3+
45,Apprendo Srl,Android Developer Middle,design
45,Apprendo Srl,Android Developer Middle,implementation
45,Apprendo Srl,Android Developer Middle,performance
45,Apprendo Srl,Android Developer Middle,Java
45,Apprendo Srl,Android Developer Middle,Kotlin
45,Apprendo Srl,Android Developer Middle,Android Studio
45,Apprendo Srl,Android Developer Middle,Jetpack
45,Apprendo Srl,Android Developer Middle,Retrofit
45,Apprendo Srl,Android Developer Middle,Room
45,Apprendo Srl,Android Developer Middle,time management
45,Apprendo Srl,Android Developer Middle,teamwork
46,ElevenLabs,Android Developer,AI
46,ElevenLabs,Android Developer,Collaboration
46,ElevenLabs,Android Developer,performance
46,ElevenLabs,Android Developer,responsiveness
46,ElevenLabs,Android Developer,code reviews
46,ElevenLabs,Android Developer,development best practices
46,ElevenLabs,Android Developer,coding standards
46,ElevenLabs,Android Developer,UX
46,ElevenLabs,Android Developer,A/B tests
46,ElevenLabs,Android Developer,learn
47,Trideca,Android Developer,Design
47,Trideca,Android Developer,code review
47,Trideca,Android Developer,implement
47,Trideca,Android Developer,Agile
47,Trideca,Android Developer,prototyping
47,Trideca,Android Developer,teamwork
47,Trideca,Android Developer,Understand the requirements of the customer
47,Trideca,Android Developer,CI/CD
47,Trideca,Android Developer,DevOps
47,Trideca,Android Developer,robustness
47,Trideca,Android Developer,unit testing
47,Trideca,Android Developer,component testing
47,Trideca,Android Developer,test coverage
47,Trideca,Android Developer,debugging
47,Trideca,Android Developer,6+
48,careerone,Android Developer,Collaboration
48,careerone,Android Developer,CI/CD
48,careerone,Android Developer,teamwork
48,careerone,Android Developer,reuse of shared components
48,careerone,Android Developer,Write clean code
48,careerone,Android Developer,development best practices
48,careerone,Android Developer,audit
48,careerone,Android Developer,sonar scan
48,careerone,Android Developer,Agile
48,careerone,Android Developer,mentoring
48,careerone,Android Developer,Swift
48,careerone,Android Developer,Kotlin
48,careerone,Android Developer,Xcode IDE
48,careerone,Android Developer,SPM
48,careerone,Android Developer,Git
48,careerone,Android Developer,Bitbucket
48,careerone,Android Developer,JIRA
48,careerone,Android Developer,IXGuard
48,careerone,Android Developer,DexGuard
48,careerone,Android Developer,Bamboo
48,careerone,Android Developer,Gradle
48,careerone,Android Developer,Fastlane
48,careerone,Android Developer,Artifactory
48,careerone,Android Developer,Maven
48,careerone,Android Developer,Visual Studio Code
48,careerone,Android Developer,Android Studio
48,careerone,Android Developer,mobile application design
48,careerone,Android Developer,RESTful APIs
48,careerone,Android Developer,NET
48,careerone,Android Developer,Java
48,careerone,Android Developer,NodeJS
48,careerone,Android Developer,iOS
48,careerone,Android Developer,Agile
48,careerone,Android Developer,Redux
48,careerone,Android Developer,Confluence
48,careerone,Android Developer,UX
48,careerone,Android Developer,communication
48,careerone,Android Developer,reusability
48,careerone,Android Developer,scalability
48,careerone,Android Developer,test automation
49,Canva,Android Engineer,design
49,Canva,Android Engineer,code reviews
49,Canva,Android Engineer,Android Studio
49,Canva,Android Engineer,Android sdk
49,Canva,Android Engineer,Java
49,Canva,Android Engineer,Kotlin
49,Canva,Android Engineer,networking
49,Canva,Android Engineer,RxJava
49,Canva,Android Engineer,Agile
50,Timeri Job exchange,Android Developer Middle,3+
50,Timeri Job exchange,Android Developer Middle,Java
50,Timeri Job exchange,Android Developer Middle,Kotlin
50,Timeri Job exchange,Android Developer Middle,Android Studio
50,Timeri Job exchange,Android Developer Middle,Jetpack
50,Timeri Job exchange,Android Developer Middle,Retrofit
50,Timeri Job exchange,Android Developer Middle,Room
50,Timeri Job exchange,Android Developer Middle,time management
50,Timeri Job exchange,Android Developer Middle,teamwork
50,Timeri Job exchange,Android Developer Middle,Gaming
50,Timeri Job exchange,Android Developer Middle,VR
