#,Company name,Job,Technology or skill
17,Duress,Android Developer,device management
18,Sonder,Android Engineer,software testing
18,Sonder,Android Engineer,code review
18,Sonder,Android Engineer,design
18,Sonder,Android Engineer,specification
18,Sonder,Android Engineer,implementation
18,Sonder,Android Engineer,iterative development
18,Sonder,Android Engineer,requirements analysis
18,Sonder,Android Engineer,performance
18,Sonder,Android Engineer,Collaboration
18,Sonder,Android Engineer,Mentoring
18,Sonder,Android Engineer,3+
18,Sonder,Android Engineer,Android SDK
18,Sonder,Android Engineer,Jetpack
18,Sonder,Android Engineer,Material Design
18,Sonder,Android Engineer,Coroutines
18,Sonder,Android Engineer,Flow
18,Sonder,Android Engineer,MVVM 
18,Sonder,Android Engineer,Clean Architecture
18,Sonder,Android Engineer,RESTful APIs
18,Sonder,Android Engineer,networking libraries
18,Sonder,Android Engineer,Retrofit
18,Sonder,Android Engineer,Firebase
18,Sonder,Android Engineer,location-based features
18,Sonder,Android Engineer,Unit testing
18,Sonder,Android Engineer,UI testing
18,Sonder,Android Engineer,JUnit
18,Sonder,Android Engineer,Espresso
18,Sonder,Android Engineer,Releasing android apps to google play store 
18,Sonder,Android Engineer,learning
18,Sonder,Android Engineer,CI/CD
18,Sonder,Android Engineer,git
18,Sonder,Android Engineer,Kotlin
18,Sonder,Android Engineer,Java
18,Sonder,Android Engineer,architectural patterns
18,Sonder,Android Engineer,Jetpack 
18,Sonder,Android Engineer,problem-solving
19,Snaphunt,Android Developer,Design
19,Snaphunt,Android Developer,Collaboration
19,Snaphunt,Android Developer,"Integrating Third Party libraries, APIs and SDKs"
19,Snaphunt,Android Developer,Unit testing
19,Snaphunt,Android Developer,robustness
19,Snaphunt,Android Developer,usability
19,Snaphunt,Android Developer,reliability
19,Snaphunt,Android Developer,bug fixes
19,Snaphunt,Android Developer,performance
19,Snaphunt,Android Developer,3+
19,Snaphunt,Android Developer,Releasing android apps to google play store 
19,Snaphunt,Android Developer,Android SDK
19,Snaphunt,Android Developer,REST
19,Snaphunt,Android Developer,JSON
19,Snaphunt,Android Developer,mobile development life cycle
20,TikTok,Android Software Engineer,Java
20,TikTok,Android Software Engineer,Kotlin
20,TikTok,Android Software Engineer,debugging
20,TikTok,Android Software Engineer,communication
20,TikTok,Android Software Engineer,collaboration
20,TikTok,Android Software Engineer,robustness
20,TikTok,Android Software Engineer,maintainablility
20,TikTok,Android Software Engineer,clear documentation
20,TikTok,Android Software Engineer,Livestream knowledge
21,Qantas Airways,Senior Software Engineer - Android,Kotlin
21,Qantas Airways,Senior Software Engineer - Android,Android SDK
21,Qantas Airways,Senior Software Engineer - Android,offline storage
21,Qantas Airways,Senior Software Engineer - Android,threading
21,Qantas Airways,Senior Software Engineer - Android,performance tuning
21,Qantas Airways,Senior Software Engineer - Android,RESTful APIs
21,Qantas Airways,Senior Software Engineer - Android,integrating back-end services
21,Qantas Airways,Senior Software Engineer - Android,web technologies
21,Qantas Airways,Senior Software Engineer - Android,UI/UX standards
21,Qantas Airways,Senior Software Engineer - Android,MVVM
21,Qantas Airways,Senior Software Engineer - Android,Android design principles
21,Qantas Airways,Senior Software Engineer - Android,interface guidelines
21,Qantas Airways,Senior Software Engineer - Android,API design
21,Qantas Airways,Senior Software Engineer - Android,Unit tests
21,Qantas Airways,Senior Software Engineer - Android,UI tests
21,Qantas Airways,Senior Software Engineer - Android,Jetpack
21,Qantas Airways,Senior Software Engineer - Android,microservices architecture
21,Qantas Airways,Senior Software Engineer - Android,Spring Boot
21,Qantas Airways,Senior Software Engineer - Android,Ktor
21,Qantas Airways,Senior Software Engineer - Android,CI/CD
22,Westpac Bank,Android Developer,Collaboration
22,Westpac Bank,Android Developer,teamwork
22,Westpac Bank,Android Developer,reuse of shared components
22,Westpac Bank,Android Developer,CI/CD
22,Westpac Bank,Android Developer,clean code
22,Westpac Bank,Android Developer,development best practices
22,Westpac Bank,Android Developer,audit
22,Westpac Bank,Android Developer,sonar scan
22,Westpac Bank,Android Developer,Agile
22,Westpac Bank,Android Developer,mentoring
22,Westpac Bank,Android Developer,robustness
22,Westpac Bank,Android Developer,Swift
22,Westpac Bank,Android Developer,Kotlin
22,Westpac Bank,Android Developer,mobile application design
22,Westpac Bank,Android Developer,RESTful APIs
22,Westpac Bank,Android Developer,.NET
22,Westpac Bank,Android Developer,JAVA
22,Westpac Bank,Android Developer,NodeJS 
22,Westpac Bank,Android Developer,iOS
22,Westpac Bank,Android Developer,Redux
22,Westpac Bank,Android Developer,JIRA
22,Westpac Bank,Android Developer,BitBucket
22,Westpac Bank,Android Developer,Confluence
22,Westpac Bank,Android Developer,Bamboo
22,Westpac Bank,Android Developer,test automation
22,Westpac Bank,Android Developer,reusability
22,Westpac Bank,Android Developer,scalability
22,Westpac Bank,Android Developer,design patterns
22,Westpac Bank,Android Developer,concurrency
22,Westpac Bank,Android Developer,performance
22,Westpac Bank,Android Developer,communication
23,Aurec Group,Mobile Engineer - Android Developer,4+
23,Aurec Group,Mobile Engineer - Android Developer,Agile
23,Aurec Group,Mobile Engineer - Android Developer,CI/CD
23,Aurec Group,Mobile Engineer - Android Developer,Git
23,Aurec Group,Mobile Engineer - Android Developer,Kotlin
23,Aurec Group,Mobile Engineer - Android Developer,Java
23,Aurec Group,Mobile Engineer - Android Developer,Android SDK
23,Aurec Group,Mobile Engineer - Android Developer,MVVM 
23,Aurec Group,Mobile Engineer - Android Developer,MVP
23,Aurec Group,Mobile Engineer - Android Developer,development best practices
23,Aurec Group,Mobile Engineer - Android Developer,Collaboration
23,Aurec Group,Mobile Engineer - Android Developer,teamwork
24,On-Hire,Android/Kotlin Developer,Java
24,On-Hire,Android/Kotlin Developer,J2EE
24,On-Hire,Android/Kotlin Developer,Kotlin
24,On-Hire,Android/Kotlin Developer,unit testing
24,On-Hire,Android/Kotlin Developer,preparing documentation
24,On-Hire,Android/Kotlin Developer,Design
24,On-Hire,Android/Kotlin Developer,Releasing android apps to google play store 
24,On-Hire,Android/Kotlin Developer,delivery estimates
24,On-Hire,Android/Kotlin Developer,teamwork
24,On-Hire,Android/Kotlin Developer,problem-solving
24,On-Hire,Android/Kotlin Developer,Android SDK
24,On-Hire,Android/Kotlin Developer,Native development
24,On-Hire,Android/Kotlin Developer,UI
24,On-Hire,Android/Kotlin Developer,JSON
24,On-Hire,Android/Kotlin Developer,OAuth
24,On-Hire,Android/Kotlin Developer,Social Sharing
24,On-Hire,Android/Kotlin Developer,Email Integration
24,On-Hire,Android/Kotlin Developer,GPS/Google API
24,On-Hire,Android/Kotlin Developer,Groovy
24,On-Hire,Android/Kotlin Developer,SQLite
24,On-Hire,Android/Kotlin Developer,REST services
24,On-Hire,Android/Kotlin Developer,Web services
24,On-Hire,Android/Kotlin Developer,Git
25,eTeam,Android developer,5+
25,eTeam,Android developer,Kotlin
25,eTeam,Android developer,Java
25,eTeam,Android developer,Retrofit
25,eTeam,Android developer,Jetpack
25,eTeam,Android developer,Navigation
25,eTeam,Android developer,Accessibility
25,eTeam,Android developer,MVVM
25,eTeam,Android developer,debugging
25,eTeam,Android developer,memory optimization
25,eTeam,Android developer,Android SDK
25,eTeam,Android developer,Android application lifecycle
25,eTeam,Android developer,Restful API integration
25,eTeam,Android developer,integrating back-end services
25,eTeam,Android developer,"Integrating Third Party libraries, APIs and SDKs"
25,eTeam,Android developer,UI guidelines
25,eTeam,Android developer,material designs
25,eTeam,Android developer,Unit test
25,eTeam,Android developer,test automation
26,The Onset,Software engineer - android,Collaboration
26,The Onset,Software engineer - android,Native Android development skills
26,The Onset,Software engineer - android,4+
26,The Onset,Software engineer - android,product lifecycle experience
26,The Onset,Software engineer - android,teamwork
26,The Onset,Software engineer - android,communication
26,The Onset,Software engineer - android,Quick learner
26,The Onset,Software engineer - android,enjoys working autonomously
26,The Onset,Software engineer - android,Java
26,The Onset,Software engineer - android,Kotlin
26,The Onset,Software engineer - android,Jetpack
27,Coles Supermarkets,Senior Software Engineer - Android,eCommerce
27,Coles Supermarkets,Senior Software Engineer - Android,Agile
27,Coles Supermarkets,Senior Software Engineer - Android,Scrum
27,Coles Supermarkets,Senior Software Engineer - Android,analytical skills
27,Coles Supermarkets,Senior Software Engineer - Android,problem-solving
27,Coles Supermarkets,Senior Software Engineer - Android,cloud environment
27,Coles Supermarkets,Senior Software Engineer - Android,communication
27,Coles Supermarkets,Senior Software Engineer - Android,collaboration
27,Coles Supermarkets,Senior Software Engineer - Android,stakeholder management
27,Coles Supermarkets,Senior Software Engineer - Android,teamwork
28,Zeller,Senior Android Engineer,Kotlin
28,Zeller,Senior Android Engineer,teamwork
28,Zeller,Senior Android Engineer,Payment system
28,Zeller,Senior Android Engineer,Collaboration
28,Zeller,Senior Android Engineer,requirements analysis
28,Zeller,Senior Android Engineer,software testing
28,Zeller,Senior Android Engineer,Releasing android apps to google play store 
28,Zeller,Senior Android Engineer,implementation
28,Zeller,Senior Android Engineer,rxJava
28,Zeller,Senior Android Engineer,Coroutines
28,Zeller,Senior Android Engineer,dependency injection
28,Zeller,Senior Android Engineer,Dagger
28,Zeller,Senior Android Engineer,GraphQL
28,Zeller,Senior Android Engineer,CLEAN architecture
28,Zeller,Senior Android Engineer,automation
28,Zeller,Senior Android Engineer,Maestro
29,Woolworths Group,Senior Android Engineer,development best practices
29,Woolworths Group,Senior Android Engineer,Unit testing
29,Woolworths Group,Senior Android Engineer,robustness
29,Woolworths Group,Senior Android Engineer,usability
29,Woolworths Group,Senior Android Engineer,reliability
29,Woolworths Group,Senior Android Engineer,SDLC
29,Woolworths Group,Senior Android Engineer,Agile
29,Woolworths Group,Senior Android Engineer,automated testing
29,Woolworths Group,Senior Android Engineer,teamwork
29,Woolworths Group,Senior Android Engineer,CI/CD
29,Woolworths Group,Senior Android Engineer,5+
29,Woolworths Group,Senior Android Engineer,Jetpack
29,Woolworths Group,Senior Android Engineer,Android SDK
29,Woolworths Group,Senior Android Engineer,MVVM
29,Woolworths Group,Senior Android Engineer,Android design principles
29,Woolworths Group,Senior Android Engineer,interface guidelines
29,Woolworths Group,Senior Android Engineer,API design
29,Woolworths Group,Senior Android Engineer,UI tests
30,Airwallex,Senior Android Engineer,AndroidX
30,Airwallex,Senior Android Engineer,Coroutines
30,Airwallex,Senior Android Engineer,Hilt
30,Airwallex,Senior Android Engineer,Jetpack
30,Airwallex,Senior Android Engineer,5+
30,Airwallex,Senior Android Engineer,Releasing android apps to google play store 
30,Airwallex,Senior Android Engineer,dependency injection
30,Airwallex,Senior Android Engineer,Dagger
30,Airwallex,Senior Android Engineer,Kotlin
30,Airwallex,Senior Android Engineer,testablility
30,Airwallex,Senior Android Engineer,test coverage
30,Airwallex,Senior Android Engineer,CI/CD
31,Bella Vista,Senior Android Engineer,e-commerce
31,Bella Vista,Senior Android Engineer,robustness
31,Bella Vista,Senior Android Engineer,development best practices
31,Bella Vista,Senior Android Engineer,Unit testing
31,Bella Vista,Senior Android Engineer,usability
31,Bella Vista,Senior Android Engineer,reliability
31,Bella Vista,Senior Android Engineer,SDLC
31,Bella Vista,Senior Android Engineer,Implement new features
31,Bella Vista,Senior Android Engineer,Agile
31,Bella Vista,Senior Android Engineer,teamwork
31,Bella Vista,Senior Android Engineer,automated testing
31,Bella Vista,Senior Android Engineer,5+
31,Bella Vista,Senior Android Engineer,Jetpack
31,Bella Vista,Senior Android Engineer,Android SDK
31,Bella Vista,Senior Android Engineer,MVVM
31,Bella Vista,Senior Android Engineer,Android design principles
31,Bella Vista,Senior Android Engineer,interface guidelines
31,Bella Vista,Senior Android Engineer,API design
31,Bella Vista,Senior Android Engineer,Unit tests
31,Bella Vista,Senior Android Engineer,UI tests
32,Crypto Recruit,Android Developer,Kotlin
32,Crypto Recruit,Android Developer,Java
32,Crypto Recruit,Android Developer,UI design
32,Crypto Recruit,Android Developer,fast learner
32,Crypto Recruit,Android Developer,juggle conflicting requirements from many different stakeholders
32,Crypto Recruit,Android Developer,MVVM
32,Crypto Recruit,Android Developer,reactive programming
32,Crypto Recruit,Android Developer,RxJava
32,Crypto Recruit,Android Developer,RxAndroid
32,Crypto Recruit,Android Developer,multi-module architecture
32,Crypto Recruit,Android Developer,real time graph
32,Crypto Recruit,Android Developer,displaying real time data
32,Crypto Recruit,Android Developer,TDD
32,Crypto Recruit,Android Developer,Unit testing
33,Neso Academy,Android Developer,UI
33,Neso Academy,Android Developer,UX
33,Neso Academy,Android Developer,bug fixes
33,Neso Academy,Android Developer,security
33,Neso Academy,Android Developer,standards
34,TEKsystems,Android Developer,Data Structures
34,TEKsystems,Android Developer,algorithm
34,TEKsystems,Android Developer,6+
34,TEKsystems,Android Developer,Android sdk
34,TEKsystems,Android Developer,Jetpack
34,TEKsystems,Android Developer,Java
34,TEKsystems,Android Developer,Kotlin
34,TEKsystems,Android Developer,Android Studio
34,TEKsystems,Android Developer,"Integrating Third Party libraries, APIs and SDKs"
34,TEKsystems,Android Developer,Communication
35,Aegis Softtech,Android Developer,2+
35,Aegis Softtech,Android Developer,Translate designs into code
35,Aegis Softtech,Android Developer,Design
35,Aegis Softtech,Android Developer,performance
35,Aegis Softtech,Android Developer,responsiveness
35,Aegis Softtech,Android Developer,bug fixes
35,Aegis Softtech,Android Developer,RESTful APIs
35,Aegis Softtech,Android Developer,integrating back-end services
35,Aegis Softtech,Android Developer,UI design
35,Aegis Softtech,Android Developer,development best practices
36,Forward Eye Technologies,Android Kotlin Developer,Kotlin
36,Forward Eye Technologies,Android Kotlin Developer,design
36,Forward Eye Technologies,Android Kotlin Developer,implemention
36,Forward Eye Technologies,Android Kotlin Developer,Collaboration
36,Forward Eye Technologies,Android Kotlin Developer,Write clean code
36,Forward Eye Technologies,Android Kotlin Developer,maintainability
36,Forward Eye Technologies,Android Kotlin Developer,development best practices
36,Forward Eye Technologies,Android Kotlin Developer,design patterns
36,Forward Eye Technologies,Android Kotlin Developer,software testing
36,Forward Eye Technologies,Android Kotlin Developer,debugging
36,Forward Eye Technologies,Android Kotlin Developer,performance
36,Forward Eye Technologies,Android Kotlin Developer,UX/UI design
