,Company name,Job,Technology or skill,Date
11,Veritone,Senior Android Engineer,code best practices,19/08/2024
11,Veritone,Senior Android Engineer,3+,19/08/2024
11,Veritone,Senior Android Engineer,Xcode,19/08/2024
11,Veritone,Senior Android Engineer,Android Studio,19/08/2024
11,Veritone,Senior Android Engineer,Kotlin,19/08/2024
11,Veritone,Senior Android Engineer,Swift,19/08/2024
11,Veritone,Senior Android Engineer,Cocoa Pods,19/08/2024
11,Veritone,Senior Android Engineer,Maven,19/08/2024
11,Veritone,Senior Android Engineer,Unit Testing,19/08/2024
11,Veritone,Senior Android Engineer,JUnit,19/08/2024
11,Veritone,Senior Android Engineer,Mockito,19/08/2024
11,Veritone,Senior Android Engineer,XCUnit,19/08/2024
11,Veritone,Senior Android Engineer,integrating Android mobile applications with APIs,19/08/2024
11,Veritone,Senior Android Engineer,bug fixes,19/08/2024
11,Veritone,Senior Android Engineer,test automation,19/08/2024
11,Veritone,Senior Android Engineer,communication,19/08/2024
11,Veritone,Senior Android Engineer,mentoring and coaching,19/08/2024
11,Veritone,Senior Android Engineer,Agile,19/08/2024
11,Veritone,Senior Android Engineer,scrum,19/08/2024
11,Veritone,Senior Android Engineer,Google Play Console,19/08/2024
11,Veritone,Senior Android Engineer,healthcare,19/08/2024
11,Veritone,Senior Android Engineer,Javascript,19/08/2024
11,Veritone,Senior Android Engineer,cloud services,19/08/2024
11,Veritone,Senior Android Engineer,AWS,19/08/2024
11,Veritone,Senior Android Engineer,communication protocols,19/08/2024
12,Huxley Banking & Financial Services,Android Developer,Java,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,teamwork,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,Banking,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,Kotlin,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,2+,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,Google Play store,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,RxJava,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,RESTful API,25/08/2024
12,Huxley Banking & Financial Services,Android Developer,PostgreSQL,25/08/2024
13,CareerAddict,Lead Android Engineer,MVVM,23/08/2024
13,CareerAddict,Lead Android Engineer,Kotlin,23/08/2024
13,CareerAddict,Lead Android Engineer,Java,23/08/2024
13,CareerAddict,Lead Android Engineer,Git,23/08/2024
13,CareerAddict,Lead Android Engineer,troubleshooting,23/08/2024
13,CareerAddict,Lead Android Engineer,streamlining,23/08/2024
13,CareerAddict,Lead Android Engineer,clean code,23/08/2024
13,CareerAddict,Lead Android Engineer,maintainability,23/08/2024
13,CareerAddict,Lead Android Engineer,MVVM,23/08/2024
13,CareerAddict,Lead Android Engineer,Android architecture patterns,23/08/2024
13,CareerAddict,Lead Android Engineer,Automated testing,23/08/2024
13,CareerAddict,Lead Android Engineer,performance,23/08/2024
13,CareerAddict,Lead Android Engineer,Git,23/08/2024
13,CareerAddict,Lead Android Engineer,system design,23/08/2024
13,CareerAddict,Lead Android Engineer,debugging,23/08/2024
13,CareerAddict,Lead Android Engineer,Agile ,23/08/2024
13,CareerAddict,Lead Android Engineer,Security,23/08/2024
13,CareerAddict,Lead Android Engineer,CI/CD,23/08/2024
13,CareerAddict,Lead Android Engineer,Cryptography,23/08/2024
13,CareerAddict,Lead Android Engineer,React Native,23/08/2024
13,CareerAddict,Lead Android Engineer,Expo,23/08/2024
14,Glance,Android Developer,Kotlin,25/08/2024
14,Glance,Android Developer,Dart,25/08/2024
14,Glance,Android Developer,Agile,25/08/2024
14,Glance,Android Developer,plan,25/08/2024
14,Glance,Android Developer,estimate,25/08/2024
14,Glance,Android Developer,performance,25/08/2024
14,Glance,Android Developer,Write clean code,25/08/2024
14,Glance,Android Developer,reusability,25/08/2024
14,Glance,Android Developer,Collaboration,25/08/2024
14,Glance,Android Developer,Unit testing,25/08/2024
14,Glance,Android Developer,robustness testing,25/08/2024
14,Glance,Android Developer,usability,25/08/2024
14,Glance,Android Developer,reliability,25/08/2024
14,Glance,Android Developer,fix bugs,25/08/2024
14,Glance,Android Developer,Document software development processes,25/08/2024
14,Glance,Android Developer,Flutter,25/08/2024
14,Glance,Android Developer,teamwork,25/08/2024
14,Glance,Android Developer,problem-solving,25/08/2024
15,Tempting Ventures,Android Developer,GPS,23/08/2024
15,Tempting Ventures,Android Developer,kotlin,23/08/2024
15,Tempting Ventures,Android Developer,Coroutines,23/08/2024
15,Tempting Ventures,Android Developer,Jetpack,23/08/2024
15,Tempting Ventures,Android Developer,MVVM,23/08/2024
15,Tempting Ventures,Android Developer,Automated testing,23/08/2024
15,Tempting Ventures,Android Developer,unit testing,23/08/2024
15,Tempting Ventures,Android Developer,CI/CD,23/08/2024
15,Tempting Ventures,Android Developer,Navigation,23/08/2024
15,Tempting Ventures,Android Developer,enthusiasim,23/08/2024
16,SR2,Android Engineer,released applications,24/08/2024
16,SR2,Android Engineer,Kotlin,24/08/2024
16,SR2,Android Engineer,Python,24/08/2024
16,SR2,Android Engineer,Back End service integration,24/08/2024
16,SR2,Android Engineer,RESTful APIs,24/08/2024
16,SR2,Android Engineer,cloud platforms,24/08/2024
17,The App Experts,Android Engineer,Java,25/08/2024
17,The App Experts,Android Engineer,GooglePlay app store,25/08/2024
17,The App Experts,Android Engineer,released applications,25/08/2024
17,The App Experts,Android Engineer,problem solving,25/08/2024
17,The App Experts,Android Engineer,Eclipse,25/08/2024
17,The App Experts,Android Engineer,SQL,25/08/2024
17,The App Experts,Android Engineer,3+,25/08/2024
17,The App Experts,Android Engineer,innovation,25/08/2024
17,The App Experts,Android Engineer,agile,25/08/2024
18,Revolution Technology,Senior Android Developer,iOS,23/08/2024
18,Revolution Technology,Senior Android Developer,Native Android development,23/08/2024
18,Revolution Technology,Senior Android Developer,Kotlin,23/08/2024
19,Opus Recruitment Solutions,Android Developer,Kotlin,25/08/2024
19,Opus Recruitment Solutions,Android Developer,CI,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Jenkins,25/08/2024
19,Opus Recruitment Solutions,Android Developer,SonarQube,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Jetpack,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Clean Architecture,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Widgets,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Android Architecture Components,25/08/2024
19,Opus Recruitment Solutions,Android Developer,engage in design sessions,25/08/2024
19,Opus Recruitment Solutions,Android Developer,code reviews,25/08/2024
19,Opus Recruitment Solutions,Android Developer,pair programming,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Provide estimates,25/08/2024
19,Opus Recruitment Solutions,Android Developer,deliver software on time,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Maintain technical documentation,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Communicate progress to non-technical stakeholders,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Debugging,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Agile,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Ensure compliance with regulatory measures like ISO27001 and PCI Compliance,25/08/2024
19,Opus Recruitment Solutions,Android Developer,mentor junior team members,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Security,25/08/2024
19,Opus Recruitment Solutions,Android Developer,RESTful APIs,25/08/2024
19,Opus Recruitment Solutions,Android Developer,multi-threading,25/08/2024
19,Opus Recruitment Solutions,Android Developer,build adaptive Uis,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Self-motivated,25/08/2024
19,Opus Recruitment Solutions,Android Developer,ability to work independently,25/08/2024
19,Opus Recruitment Solutions,Android Developer,development standards and best practices,25/08/2024
19,Opus Recruitment Solutions,Android Developer,task prioritization,25/08/2024
19,Opus Recruitment Solutions,Android Developer,communication,25/08/2024
19,Opus Recruitment Solutions,Android Developer,lead team members,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Object-Oriented Programming,25/08/2024
19,Opus Recruitment Solutions,Android Developer,SOLID,25/08/2024
19,Opus Recruitment Solutions,Android Developer,TDD,25/08/2024
19,Opus Recruitment Solutions,Android Developer,YAGNI,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Active learner,25/08/2024
19,Opus Recruitment Solutions,Android Developer,Jira,25/08/2024
20,Wayve,Android Developer,vehicle systems,20/08/2024
20,Wayve,Android Developer,safety,20/08/2024
20,Wayve,Android Developer,security,20/08/2024
20,Wayve,Android Developer,robustness,20/08/2024
20,Wayve,Android Developer,Collaboration,20/08/2024
20,Wayve,Android Developer,performance,20/08/2024
20,Wayve,Android Developer,standards of testing,20/08/2024
20,Wayve,Android Developer,user experience,20/08/2024
20,Wayve,Android Developer,application architecture,20/08/2024
20,Wayve,Android Developer,Linux,20/08/2024
20,Wayve,Android Developer,Kotlin,20/08/2024
20,Wayve,Android Developer, API Design,20/08/2024
20,Wayve,Android Developer,Software testing,20/08/2024
20,Wayve,Android Developer,automation,20/08/2024
20,Wayve,Android Developer,engage with real users,20/08/2024
20,Wayve,Android Developer,robotics,20/08/2024
20,Wayve,Android Developer,AI,20/08/2024
21,Parity Professionals Limited,Android Developer,Kotlin,19/08/2024
21,Parity Professionals Limited,Android Developer,Jetpack,19/08/2024
21,Parity Professionals Limited,Android Developer,XML,19/08/2024
21,Parity Professionals Limited,Android Developer,MVVM,19/08/2024
21,Parity Professionals Limited,Android Developer,Agile ,19/08/2024
21,Parity Professionals Limited,Android Developer,Scrum,19/08/2024
21,Parity Professionals Limited,Android Developer,Azure Dev Ops,19/08/2024
21,Parity Professionals Limited,Android Developer,CI/CD,19/08/2024
21,Parity Professionals Limited,Android Developer,Android Studio,19/08/2024
21,Parity Professionals Limited,Android Developer,Git,19/08/2024
22,Mindera,Android Developer,ensure the technical feasibility of the requirements,26/08/2024
22,Mindera,Android Developer,design patterns,26/08/2024
22,Mindera,Android Developer,data structures,26/08/2024
22,Mindera,Android Developer,TDD,26/08/2024
22,Mindera,Android Developer,CI/CD,26/08/2024
22,Mindera,Android Developer,performance,26/08/2024
22,Mindera,Android Developer,Kotlin,26/08/2024
22,Mindera,Android Developer,Java,26/08/2024
22,Mindera,Android Developer,testing frameworks,26/08/2024
22,Mindera,Android Developer,UX,26/08/2024
23,Goldman Sachs,Android Developer,teamwork,26/08/2024
23,Goldman Sachs,Android Developer,released applications,26/08/2024
23,Goldman Sachs,Android Developer,RESTful web services,26/08/2024
23,Goldman Sachs,Android Developer,Android Studio,26/08/2024
23,Goldman Sachs,Android Developer,data visualizations,26/08/2024
23,Goldman Sachs,Android Developer,code reuse,26/08/2024
23,Goldman Sachs,Android Developer,debugging,26/08/2024
23,Goldman Sachs,Android Developer,Agile,26/08/2024
23,Goldman Sachs,Android Developer,collaboration,26/08/2024
23,Goldman Sachs,Android Developer,contribute estimates to the planning process,26/08/2024
23,Goldman Sachs,Android Developer,leadership,26/08/2024
23,Goldman Sachs,Android Developer,Finance,26/08/2024
23,Goldman Sachs,Android Developer,communication,26/08/2024
23,Goldman Sachs,Android Developer,5+,26/08/2024
23,Goldman Sachs,Android Developer,MVC,26/08/2024
23,Goldman Sachs,Android Developer,Kotlin,26/08/2024
23,Goldman Sachs,Android Developer,Room,26/08/2024
23,Goldman Sachs,Android Developer,RxJava,26/08/2024
23,Goldman Sachs,Android Developer,Retrofit,26/08/2024
23,Goldman Sachs,Android Developer,Repository pattern,26/08/2024
23,Goldman Sachs,Android Developer,MVVM,26/08/2024
23,Goldman Sachs,Android Developer,MVI,26/08/2024
23,Goldman Sachs,Android Developer,Git,26/08/2024
23,Goldman Sachs,Android Developer,StackOverflow,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Kotlin,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Jetpack,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,XML,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,MVVM,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Agile,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Scrum,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Azure DevOps,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,CI/CD,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Android Studio,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,Git,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,teamwork,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,code fixes,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,integrating Android mobile applications with APIs,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,5+,26/08/2024
24,CareerAddict,Android Mobile Application Senior Developer - Kotlin,released applications,26/08/2024
25,British Heroes,Android Developer,teamwork,26/08/2024
25,British Heroes,Android Developer,JAVA,26/08/2024
25,British Heroes,Android Developer,Kotlin,26/08/2024
25,British Heroes,Android Developer,REST,26/08/2024
25,British Heroes,Android Developer,SOAP,26/08/2024
25,British Heroes,Android Developer,JSON,26/08/2024
26,Vertex IT Solutions Ltd,Android Developer,Collaboration,20/08/2024
26,Vertex IT Solutions Ltd,Android Developer,4+,20/08/2024
26,Vertex IT Solutions Ltd,Android Developer,Kotlin,20/08/2024
26,Vertex IT Solutions Ltd,Android Developer,Android SDK,20/08/2024
26,Vertex IT Solutions Ltd,Android Developer,Java,20/08/2024
26,Vertex IT Solutions Ltd,Android Developer,integrating Android mobile applications with APIs,20/08/2024
26,Vertex IT Solutions Ltd,Android Developer,Git,20/08/2024
27,MRJ Recruitment,Android Developer,Kotlin,23/08/2024
27,MRJ Recruitment,Android Developer,Collaboration,23/08/2024
27,MRJ Recruitment,Android Developer,performance,23/08/2024
27,MRJ Recruitment,Android Developer,Troubleshooting,23/08/2024
27,MRJ Recruitment,Android Developer,scalability,23/08/2024
27,MRJ Recruitment,Android Developer,RESTful APIs,23/08/2024
27,MRJ Recruitment,Android Developer,Problem-solving,23/08/2024
28,Manchester Digital,Android Tech Lead,leadership,22/08/2024
28,Manchester Digital,Android Tech Lead,agile,22/08/2024
28,Manchester Digital,Android Tech Lead,Dev Ops,22/08/2024
28,Manchester Digital,Android Tech Lead,CI/CD,22/08/2024
28,Manchester Digital,Android Tech Lead,TDD,22/08/2024
29,Simon James IT Ltd,Android Developer,MVVM,23/08/2024
29,Simon James IT Ltd,Android Developer,Kotlin,23/08/2024
29,Simon James IT Ltd,Android Developer,Java,23/08/2024
29,Simon James IT Ltd,Android Developer,Git,23/08/2024
29,Simon James IT Ltd,Android Developer,Full SDLC,23/08/2024
29,Simon James IT Ltd,Android Developer,leadership,23/08/2024
29,Simon James IT Ltd,Android Developer,Android architecture patterns,23/08/2024
29,Simon James IT Ltd,Android Developer,Use Cases,23/08/2024
29,Simon James IT Ltd,Android Developer,Clean Architecture,23/08/2024
29,Simon James IT Ltd,Android Developer,Automated testing,23/08/2024
29,Simon James IT Ltd,Android Developer,performance,23/08/2024
29,Simon James IT Ltd,Android Developer,system design,23/08/2024
29,Simon James IT Ltd,Android Developer,debugging,23/08/2024
29,Simon James IT Ltd,Android Developer,maintinance,23/08/2024
29,Simon James IT Ltd,Android Developer,Agile,23/08/2024
29,Simon James IT Ltd,Android Developer,Resilience,23/08/2024
29,Simon James IT Ltd,Android Developer,Security,23/08/2024
29,Simon James IT Ltd,Android Developer,CI/CD,23/08/2024
29,Simon James IT Ltd,Android Developer,Cryptography,23/08/2024
29,Simon James IT Ltd,Android Developer,React Native,23/08/2024
